cas_number,name,english_name,brand,specification,initial_quantity,unit,quantity,price,order_reason,applicant,order_time
60-18-4,L-酪氨酸,L-Tyrosine,百灵威,25g,25,g,1,268,not_stocked,wanghongye,
358-23-6,三氟甲磺酸酐,Trifluoromethanesulfonic anhydride,百灵威,5g,5,g,1,264.75,running_out,zhangziyao,
1998/1/1,糠醛,"
Furfural",Amethyst,100g,100,g,1,262,degraded,sulingyu,
95-50-1,邻二氯苯,1，2-Dichlorobenzene,阿拉丁,,,,1,257.25,running_out,chenlei,
719-59-5,2-氨基-5-氯二苯甲酮,2-Amino-5-chlorobenzophenot_stocked,欣恒研,25g,25,g,1,255,not_stocked,chengzengrui,
2592-95-2,1-羟基苯并三唑,1-Hydroxybenzotriazole,上海泰坦,100g,100,g,1,252,running_out,wangxi,
420-04-2,氰胺,Cyanamide,毕得,100g,100,g,1,245,degraded,mengjunhong,
698-63-5,5-硝基呋喃-2-甲醛,5-Nitrofuran-2-carbaldehyde,毕得,5g,5,g,1,240.55,running_out,sulingyu,
637-07-0,"	2-(4-氯苯氧基)-2-甲基丙酸乙酯","	Ethyl 2-(4-chlorophenoxy)-2-methylpropanoate",毕得,5g,5,g,1,240,running_out,dairongheng,
2986-17-6,"	1,3-二异丙基硫脲"," 1,3-Diisopropylthiourea",欣恒研,25g,25,g,1,240,not_stocked,chenlei,
5834-16-2,"
3-甲基-2-噻吩甲醛",3-Methyl-2-thiophenecarboxaldehyde,毕得,5g,5,g,1,239,not_stocked,sulingyu,
39901-94-5,吡啶-2-甲酰氯 盐酸盐,Picolinoyl chloride hydrochloride,毕得,1g,1,g,1,238,not_stocked,sulingyu,
7789-17-5,碘化铯,"	Cesium iodide",乐研,10g,10,g,1,237.75,running_out,chenlei,
1694-92-4,2-硝基苯磺酰氯,2-Nitrobenzenesulfonyl chloride,阿拉丁,25g,25,g,1,235,not_stocked,chengzengrui,
6999/3/7,1-溴-4-(三甲基硅基)苯,(4-Bromophenyl)trimethylsilane,毕得,1g,1,g,1,234.75,not_stocked,mengjunhong,
49834-22-2,N-甲基-3-溴苯甲酰胺,3-Bromo-N-methylbenzamide,"毕得	",250mg,250,mg,1,233,running_out,gengshihan,
667-27-6,溴二氟乙酸乙酯,"	Ethyl bromodifluoroacetate",希恩思,25 g,25,g,1,233,not_stocked,chengzengrui,
123-91-1,"1,4-二氧六环 超干","1,4-Dioxane",泰坦,100mL,100,mL,1,231,running_out,chenlei,
36052-24-1,6-氨基烟酸甲酯," Methyl 6-aminonicotinate 	","	毕得",5g,5,g,1,228.65,not_stocked,xuyue,
611-74-5,"	N,N-二甲基苯甲酰胺","	N,N-Dimethylbenzamide","毕得	",5g,5,g,1,228,running_out,dairongheng,
920-46-7,甲基丙烯酰氯,Methacryloyl chloride,希恩思,25 g ,25,g,1,227.25,running_out,chenlei,
103-63-9,beta-溴代苯乙烷,(2-Bromoethyl)benzene,"毕得	",100g,100,g,1,223.5,running_out,wangxi,
513-86-0,乙偶姻,Acetoin,虹湖联合,25g,25,g,1,222,not_stocked,chenlei,
